 3.0	3.00	200	0.700	0.0010	80	2500	6
 3.0	3.00	100	0.300	0.0100	2	2500	6
 6.0	6.00	100	0.300	0.0100	2	2500	6
 3.0	3.00	200	0.700	0.0010	80	2500	6
 5.0	5.00	200	0.700	0.0010	80	2500	6
 5.0	5.00	200	0.700	0.0010	80	2500	6
 5.0	5.00	200	0.700	0.0010	80	2500	6
20.0	20.00	200	0.700	0.0010	80	2500	28
15.0	15.00	200	0.700	0.0010	80	2500	64
 5.0	5.00	200	0.700	0.0010	80	2500	6
 5.0	5.00	200	0.700	0.0010	80	2500	6
59.0	59.00	200	0.700	0.0010	80	2500	500
4584049048607166838615754932224.0	924309093923530561334011756544.00	0	0.300	0.0100	2	2500	6
 5.0	5.00	100	0.300	0.0100	2	2500	6
90.0	76.70	100	0.300	0.0100	2	2500	500
 5.0	5.00	100	0.300	0.0100	2	2500	6
 5.0	5.00	100	0.300	0.0100	2	2500	6
 5.0	4.70	2	0.300	0.0100	2	2500	6
 5.0	4.80	2	0.300	0.0100	2	2500	6
 5.0	4.60	2	0.300	0.0100	2	2500	6
 5.0	4.80	2	0.300	0.0100	2	2500	6
 5.0	5.00	2	0.300	0.0100	2	2500	6
20.0	18.80	2	0.300	0.0100	2	2500	28
 5.0	5.00	2	0.300	0.0100	2	2500	6
24.0	13.00	2	0.300	0.0100	2	2500	500
52.0	33.10	10	0.300	0.0100	2	2500	500
 5.0	5.00	10	0.300	0.0100	2	2500	6
20.0	20.00	10	0.300	0.0100	2	2500	28
15.0	14.60	10	0.300	0.0100	2	2500	64
 5.0	5.00	100	0.300	0.0100	2	2500	6
 5.0	5.00	100	0.500	0.0100	2	2500	6
 5.0	5.00	100	0.700	0.0100	2	2500	6
 3.0	3.00	100	0.700	0.0000	2	2500	6
 5.0	3.73	100	0.700	0.0010	2	2500	6
 5.0	5.00	100	0.700	0.0100	2	2500	6
 5.0	5.00	100	0.700	0.0500	2	2500	6
