5000	2	2.00
5000	3	3.00
5000	3	3.00
5000	-2	-2.00
5000	6	-0.10
5000	4	4.00
5000	6	5.20
5000	3	1.70
5000	3	2.27
5000	7	0.93
5000	3	2.43
5000	0	-0.83
5000	3	3.00
5000	3	3.00
5000	3	2.60
5000	3	2.20
5000	3	2.33
5000	2	2.00
5000	2	1.47
5000	6	1.07
5000	2	2.00
5000	6	-1.20
5000	14	12.20
5000	0	0.00
5000	6	2.20
5000	6	2.40
5000	6	4.80
5000	6	6.00
5000	2	1.60
5000	5	-0.10
5000	3	2.53
5000	3	2.20
5000	3	2.10
5000	0	-0.70
5000	2	-3.90
5000	2	-3.23
5000	-1	-6.73
5000	3	-1.83
5000	5	3.53
5000	121	105.10
5000	388	352.33
5000	5	3.30
5000	5	3.80
5000	102	89.00
5000	-2	-3.80
5000	-84	-90.80
5000	-2	-2.00
5000	5	5.00
5000	110	110.00
5000	0	0.00
5000	6	5.60
5000	6	5.20
5000	6	5.40
5000	5	4.90
5000	5	4.90
5000	110	110.00
5000	5	5.00
5000	5	5.00
5000	110	110.00
5000	734	731.47
5000	5	5.00
5000	5	5.00
5000	110	110.00
5000	-2	-2.00
5000	-2	-2.00
5000	-80	-80.00
5000	0	0.00
5000	5	5.00
5000	10	8.20
5000	5	4.40
5000	20	20.00
5000	20	20.00
5000	20	20.00
5000	5	4.20
5000	20	20.00
5000	3	2.30
5000	4	4.00
5000	4	4.00
5000	3	2.17
5000	4	4.00
5000	12	12.00
5000	10	8.40
5000	40	40.00
5000	40	40.00
100	10	8.40
100	0	0.00
100	4	4.00
100	4	4.00
100	0	0.00
100	0	0.00
5000	10	-1.70
5000	-24	-42.00
5000	3	2.60
5000	3	1.90
5000	3	2.10
5000	3	2.10
5000	3	2.60
5000	2	2.00
5000	4	-3.80
5000	2	-0.80
5000	11	9.30
5000	10	6.40
5000	8	6.40
5000	4	3.20
5000	7	4.80
5000	8	4.60
5000	28	17.30
5000	12	10.50
5000	7	4.50
5000	6	3.90
5000	8	6.60
5000	9	6.50
5000	7	5.80
5000	4	2.90
5000	4	2.50
5000	5	2.77
5000	8	5.00
5000	4	2.40
5000	7	7.00
5000	210	210.00
5000	7	7.00
5000	5	2.70
5000	5	3.30
5000	18	15.70
5000	19	16.23
5000	19	15.25
5000	20	15.61
5000	4	2.30
5000	6	3.50
5000	7	5.10
5000	7	3.80
5000	7	5.50
5000	4	-0.20
5000	3	-0.10
5000	0	-0.40
5000	5	3.60
5000	5	5.00
5000	20	20.00
5000	20	20.00
5000	5	5.00
5000	5	5.00
100	5	4.20
100	20	19.10
100	5	4.10
100	20	19.40
100	20	19.20
100	5	4.10
100	5	4.23
100	20	19.17
100	0	0.00
100	0	0.00
100	5	4.25
100	20	19.30
100	15	14.10
100	15	13.56
100	15	13.68
100	110	104.35
100	51	28.70
100	53	28.65
100	40	20.73
100	45	20.79
5000	15	15.00
5000	75	68.20
10000	78	71.50
10000	91	80.73
100	5	5.00
100	20	19.70
100	15	14.70
100	109	105.63
100	40	29.53
100	31	19.93
1000	5	5.00
1000	20	20.00
1000	15	15.00
1000	112	111.60
1000	79	71.63
1000	85	66.90
5000	5	5.00
5000	20	20.00
5000	15	15.00
5000	112	112.00
5000	79	75.50
5000	98	91.10
10000	5	5.00
10000	79	75.87
10000	98	90.47
100	5	4.18
100	5	4.03
100	20	19.17
100	15	13.60
100	108	104.17
100	43	29.90
100	39	21.57
1000	5	4.13
1000	20	19.97
1000	15	15.00
1000	112	109.53
1000	66	56.97
1000	68	54.43
5000	5	4.27
5000	20	20.00
5000	15	15.00
5000	112	111.77
5000	75	68.00
5000	91	76.60
10000	5	4.10
10000	20	20.00
10000	15	15.00
10000	112	112.00
10000	78	69.43
10000	91	79.57
